outlier_periods,avg_messages,max_messages,avg_iqr_distance,avg_period_q1,avg_period_q3,avg_period_iqr
1,112.0,112,4.33,0.0,21.0,21.0
1,79.0,79,4.27,0.0,15.0,15.0
1,5.0,5,4.0,0.0,1.0,1.0
1,69.0,69,3.93,0.0,14.0,14.0
1,89.0,89,3.68,0.0,19.0,19.0
1,36.0,36,3.5,0.0,8.0,8.0
1,68.0,68,3.46,0.0,15.25,15.25
1,68.0,68,3.46,0.0,15.25,15.25
1,88.0,88,3.4,0.0,20.0,20.0
1,90.0,90,3.29,0.0,21.0,21.0
1,84.0,84,3.1,0.0,20.5,20.5
1,3.0,3,3.0,0.0,0.0,0.0
1,3.0,3,3.0,0.0,0.0,0.0
1,3.0,3,3.0,0.0,0.0,0.0
1,2.0,2,2.0,0.0,0.0,0.0
1,1.0,1,1.0,0.0,0.0,0.0
